time[s],q_0[mm],q_2[mm]
14.1700000000,-5.6012120000,0.0000000000
14.1800000000,-5.6105510000,0.0000000000
14.1900000000,-5.6197870000,0.0000000000
14.2000000000,-5.6289200000,0.0000000000
14.2100000000,-5.6379490000,0.0000000000
14.2200000000,-5.6468740000,0.0000000000
14.2300000000,-5.6556940000,0.0000000000
14.2400000000,-5.6644090000,0.0000000000
14.2500000000,-5.6730200000,0.0000000000
14.2600000000,-5.6815240000,0.0000000000
14.2700000000,-5.6899230000,0.0000000000
14.2800000000,-5.6982160000,0.0000000000
14.2900000000,-5.7064020000,0.0000000000
14.3000000000,-5.7144810000,0.0000000000
14.3100000000,-5.7224530000,0.0000000000
14.3200000000,-5.7303180000,0.0000000000
14.3300000000,-5.7380750000,0.0000000000
14.3400000000,-5.7457240000,0.0000000000
14.3500000000,-5.7532640000,0.0000000000
14.3600000000,-5.7606960000,0.0000000000
14.3700000000,-5.7680180000,0.0000000000
14.3800000000,-5.7752320000,0.0000000000
14.3900000000,-5.7823350000,0.0000000000
14.4000000000,-5.7893290000,0.0000000000
14.4100000000,-5.7962130000,0.0000000000
14.4200000000,-5.8029870000,0.0000000000
14.4300000000,-5.8096500000,0.0000000000
14.4400000000,-5.8162020000,0.0000000000
14.4500000000,-5.8226420000,0.0000000000
14.4600000000,-5.8289720000,0.0000000000
14.4700000000,-5.8351890000,0.0000000000
14.4800000000,-5.8412950000,0.0000000000
14.4900000000,-5.8472880000,0.0000000000
14.5000000000,-5.8531700000,0.0000000000
14.5100000000,-5.8589380000,0.0000000000
14.5200000000,-5.8645940000,0.0000000000
14.5300000000,-5.8701360000,0.0000000000
14.5400000000,-5.8755650000,0.0000000000
14.5500000000,-5.8808810000,0.0000000000
14.5600000000,-5.8860830000,0.0000000000
14.5700000000,-5.8911710000,0.0000000000
14.5800000000,-5.8961450000,0.0000000000
14.5900000000,-5.9010040000,0.0000000000
14.6000000000,-5.9057490000,0.0000000000
14.6100000000,-5.9103800000,0.0000000000
14.6200000000,-5.9148950000,0.0000000000
14.6300000000,-5.9192960000,0.0000000000
14.6400000000,-5.9235810000,0.0000000000
14.6500000000,-5.9277500000,0.0000000000
14.6600000000,-5.9318040000,0.0000000000
14.6700000000,-5.9357430000,0.0000000000
14.6800000000,-5.9395650000,0.0000000000
14.6900000000,-5.9432720000,0.0000000000
14.7000000000,-5.9468620000,0.0000000000
14.7100000000,-5.9503360000,0.0000000000
14.7200000000,-5.9536930000,0.0000000000
14.7300000000,-5.9569340000,0.0000000000
14.7400000000,-5.9600580000,0.0000000000
14.7500000000,-5.9630650000,0.0000000000
14.7600000000,-5.9659550000,0.0000000000
14.7700000000,-5.9687280000,0.0000000000
14.7800000000,-5.9713840000,0.0000000000
14.7900000000,-5.9739230000,0.0000000000
14.8000000000,-5.9763440000,0.0000000000
14.8100000000,-5.9786480000,0.0000000000
14.8200000000,-5.9808340000,0.0000000000
14.8300000000,-5.9829020000,0.0000000000
14.8400000000,-5.9848530000,0.0000000000
14.8500000000,-5.9866860000,0.0000000000
14.8600000000,-5.9884010000,0.0000000000
14.8700000000,-5.9899980000,0.0000000000
14.8800000000,-5.9914770000,0.0000000000
14.8900000000,-5.9928380000,0.0000000000
14.9000000000,-5.9940800000,0.0000000000
14.9100000000,-5.9952050000,0.0000000000
14.9200000000,-5.9962110000,0.0000000000
14.9300000000,-5.9970990000,0.0000000000
14.9400000000,-5.9978680000,0.0000000000
14.9500000000,-5.9985200000,0.0000000000
14.9600000000,-5.9990530000,0.0000000000
14.9700000000,-5.9994670000,0.0000000000
14.9800000000,-5.9997630000,0.0000000000
14.9900000000,-5.9999410000,0.0000000000
15.0000000000,-6.0000000000,0.0000000000
15.0100000000,-5.9999410000,0.0000000000
15.0200000000,-5.9997630000,0.0000000000
15.0300000000,-5.9994670000,0.0000000000
15.0400000000,-5.9990530000,0.0000000000
15.0500000000,-5.9985200000,0.0000000000
15.0600000000,-5.9978680000,0.0000000000
15.0700000000,-5.9970990000,0.0000000000
15.0800000000,-5.9962110000,0.0000000000
15.0900000000,-5.9952050000,0.0000000000
15.1000000000,-5.9940800000,0.0000000000
15.1100000000,-5.9928380000,0.0000000000
15.1200000000,-5.9914770000,0.0000000000
15.1300000000,-5.9899980000,0.0000000000
15.1400000000,-5.9884010000,0.0000000000
15.1500000000,-5.9866860000,0.0000000000
15.1600000000,-5.9848530000,0.0000000000
15.1700000000,-5.9829020000,0.0000000000
15.1800000000,-5.9808340000,0.0000000000
15.1900000000,-5.9786480000,0.0000000000
15.2000000000,-5.9763440000,0.0000000000
15.2100000000,-5.9739230000,0.0000000000
15.2200000000,-5.9713840000,0.0000000000
15.2300000000,-5.9687280000,0.0000000000
15.2400000000,-5.9659550000,0.0000000000
15.2500000000,-5.9630650000,0.0000000000
15.2600000000,-5.9600580000,0.0000000000
15.2700000000,-5.9569340000,0.0000000000
